Shifts
Shifts
Filter
Date	Role	Time	Location	Status	Actions
2025-07-07	Manager	09:00 - 17:00	Main Location	assigned	


2025-07-08	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-08	Team Member	09:00 - 17:00	Main Location	open	


2025-07-09	Manager	09:00 - 17:00	Main Location	open	


2025-07-09	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-09	Team Member	09:00 - 17:00	Main Location	open	


2025-07-10	Manager	09:00 - 17:00	Main Location	open	


2025-07-10	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-10	Team Member	09:00 - 17:00	Main Location	open	


2025-07-11	Manager	09:00 - 17:00	Main Location	open	


2025-07-11	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-11	Team Member	09:00 - 17:00	Main Location	open	


2025-07-12	Manager	09:00 - 17:00	Main Location	open	


2025-07-12	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-12	Team Member	09:00 - 17:00	Main Location	open	


2025-07-13	Manager	09:00 - 17:00	Main Location	open	


2025-07-13	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-13	Team Member	09:00 - 17:00	Main Location	open	


2025-07-14	Manager	09:00 - 17:00	Main Location	open	


2025-07-14	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-14	Team Member	09:00 - 17:00	Main Location	open	


2025-07-15	Manager	09:00 - 17:00	Main Location	open	


2025-07-15	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-15	Team Member	09:00 - 17:00	Main Location	open	


2025-07-16	Manager	09:00 - 17:00	Main Location	open	


2025-07-16	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-16	Team Member	09:00 - 17:00	Main Location	open	


2025-07-17	Manager	09:00 - 17:00	Main Location	open	


2025-07-17	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-17	Team Member	09:00 - 17:00	Main Location	open	


2025-07-18	Manager	09:00 - 17:00	Main Location	open	


2025-07-07	Supervisor	09:00 - 17:00	OFS HQ	assigned	


2025-07-07	Team Member	09:00 - 17:00	OFS HQ	assigned	


2025-07-18	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-18	Team Member	09:00 - 17:00	Main Location	open	


2025-07-19	Manager	09:00 - 17:00	Main Location	open	


2025-07-19	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-19	Team Member	09:00 - 17:00	Main Location	open	


2025-07-20	Manager	09:00 - 17:00	Main Location	open	


2025-07-20	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-20	Team Member	09:00 - 17:00	Main Location	open	


2025-07-21	Manager	09:00 - 17:00	Main Location	open	


2025-07-21	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-21	Team Member	09:00 - 17:00	Main Location	open	


2025-07-22	Manager	09:00 - 17:00	Main Location	open	


2025-07-22	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-22	Team Member	09:00 - 17:00	Main Location	open	


2025-07-23	Manager	09:00 - 17:00	Main Location	open	


2025-07-23	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-23	Team Member	09:00 - 17:00	Main Location	open	


2025-07-24	Manager	09:00 - 17:00	Main Location	open	


2025-07-24	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-24	Team Member	09:00 - 17:00	Main Location	open	


2025-07-25	Manager	09:00 - 17:00	Main Location	open	


2025-07-25	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-25	Team Member	09:00 - 17:00	Main Location	open	


2025-07-26	Manager	09:00 - 17:00	Main Location	open	


2025-07-26	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-26	Team Member	09:00 - 17:00	Main Location	open	


2025-07-27	Manager	09:00 - 17:00	Main Location	open	


2025-07-27	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-27	Team Member	09:00 - 17:00	Main Location	open	


2025-07-28	Manager	09:00 - 17:00	Main Location	open	


2025-07-28	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-28	Team Member	09:00 - 17:00	Main Location	open	


2025-07-29	Manager	09:00 - 17:00	Main Location	open	


2025-07-29	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-29	Team Member	09:00 - 17:00	Main Location	open	


2025-07-30	Manager	09:00 - 17:00	Main Location	open	


2025-07-30	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-30	Team Member	09:00 - 17:00	Main Location	open	


2025-07-31	Manager	09:00 - 17:00	Main Location	open	


2025-07-31	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-31	Team Member	09:00 - 17:00	Main Location	open	


2025-07-06	Manager	09:00 - 17:00	Main Location	open	


2025-07-06	Supervisor	09:00 - 17:00	Main Location	open	


2025-07-06	Team Member	09:00 - 17:00	Main Location	open	


2025-07-07	Team Member	09:00 - 17:00	OFS HQ	assigned	


